Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
A1 Travels,A/C Seater / Sleeper (2+1),20:05,23:59,03h 54m,600.0,23 Seats available,3.7,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,01:30,04h 30m,400.0,28 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,01:29,02h 59m,700.0,28 Seats available,3.6,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
UFO Bus,A/C Sleeper (2+1),23:55,05:30,05h 35m,769.0,13 Seats available,5.0,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Sonia Travels,A/C Seater/Sleeper (2+1),23:30,04:29,04h 59m,680.0,19 Seats available,4.9,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:55,05:30,05h 35m,670.0,21 Seats available,3.9,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Cochin Express,A/C Sleeper (2+1),23:59,05:45,05h 46m,850.0,11 Seats available,3.8,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Cochin Express,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:59,05:50,05h 51m,667.0,8 Seats available,4.3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
SG Travels,Bharat Benz A/C Sleeper (2+1),23:59,05:55,05h 56m,750.0,23 Seats available,4.3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Arya Travels,A/C Sleeper (2+1),23:59,05:30,05h 31m,749.0,15 Seats available,3.7,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Ubc travels,A/C Semi Sleeper (2+2),20:40,01:00,04h 20m,700.0,14 Seats available,3.0,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Ubc travels,A/C Seater/Sleeper (2+1),20:45,03:00,06h 15m,900.0,23 Seats available,3.6,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
